County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,TdapProt,TdapNcNp,TdapMedObj,TdapRelObj,TdapApprSchd,TdapTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
Masaac,02,061,02061,02-061-0010-26-2006,Unity Elem School,152,0,0,0,0,151,0,0,0,1,152,150,0,0,0,2,152,11,0,0,0,3,14,152,0,0,0,0,152,152,0,0,0,0,152,152,0,0,0,0,152,35,0,0,0,0,35,0,0,0,0,0,0,152,0,0,0,0,152,02,061
Masaac,02,061,02061,02-061-0010-26-2010,Brookport Elementary School,168,0,0,0,0,168,0,0,0,0,168,168,0,0,0,0,168,15,0,0,0,1,16,168,0,0,0,0,168,168,0,0,0,0,168,168,0,0,0,0,168,36,0,0,0,0,36,0,0,0,0,0,0,168,0,0,0,0,168,02,061
Masaac,02,061,02061,02-061-0380-26-0001,Joppa Jr & Sr High School,109,1,1,0,1,109,0,0,0,0,109,108,1,0,0,0,109,13,0,0,0,3,16,109,0,0,0,0,109,109,0,0,0,0,109,109,0,0,0,0,109,109,0,0,0,0,109,0,0,0,0,0,0,77,0,0,0,0,77,02,061
Masaac,02,061,02061,02-061-0380-26-2001,Maple Grove Elem School,187,3,3,0,3,182,2,0,3,0,187,182,2,0,3,0,187,19,1,0,0,0,20,182,2,0,3,0,187,182,2,0,3,0,187,182,2,0,3,0,187,71,0,0,1,0,72,23,0,0,0,0,23,182,2,0,3,0,187,02,061
Pulaski,02,077,02077,02-077-1000-26-0001,Century Jr/Sr High School,224,5,2,3,3,209,0,0,15,0,224,209,0,0,15,0,224,65,2,0,5,0,72,209,0,0,15,0,224,209,0,0,15,0,224,209,0,0,15,0,224,209,0,0,15,0,224,0,0,0,0,0,0,162,0,0,13,0,175,02,077
Pulaski,02,077,02077,02-077-1000-26-2004,Century Elementary School,196,4,3,1,4,174,2,0,20,0,196,174,2,0,20,0,196,0,0,0,0,0,0,173,3,0,20,0,196,173,3,0,20,0,196,173,3,0,20,0,196,33,0,0,3,0,36,0,0,0,0,0,0,174,2,0,20,0,196,02,077
Pulaski,02,077,02077,02-077-1010-26-0001,Meridian High School,146,0,0,0,0,146,0,0,0,0,146,146,0,0,0,0,146,38,0,0,0,0,38,146,0,0,0,0,146,146,0,0,0,0,146,146,0,0,0,0,146,146,0,0,0,0,146,0,0,0,0,0,0,83,0,0,0,0,83,02,077
Pulaski,02,077,02077,02-077-1010-26-2005,Meridian Elementary School,448,0,0,0,0,445,0,0,3,0,448,445,0,0,3,0,448,41,0,0,1,0,42,445,0,0,3,0,448,445,0,0,3,0,448,445,0,0,3,0,448,205,0,0,1,0,206,41,0,0,0,0,41,445,0,0,3,0,448,02,077
Union,02,091,02091,02-091-0160-04-2001,Lick Creek Elem School,126,0,0,0,0,126,0,0,0,0,126,126,0,0,0,0,126,9,0,0,0,0,9,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,72,0,0,0,0,72,20,0,0,0,0,20,126,0,0,0,0,126,02,091
Union,02,091,02091,02-091-0170-22-0001,Cobden High School,160,3,1,2,3,159,0,0,1,0,160,159,0,0,1,0,160,48,1,0,1,3,53,159,0,0,1,0,160,159,0,0,1,0,160,159,0,0,1,0,160,159,0,0,1,0,160,0,0,0,0,0,0,97,0,0,1,0,98,02,091
