County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Cook_North,05,016,05016,050160380022001,Kenilworth SD 38,The Joseph Sears School,506,0,0,0,1,12,0,0,0,0,0,12,0,1,05016
Cook_North,05,016,05016,050160390022003,Wilmette SD 39,Harper Elem School,427,1,0,1,0.9976580796252928,27,0,0,0,0,0,27,0,1,05016
Cook_North,05,016,05016,050160390022006,Wilmette SD 39,Romona Elem School,509,4,0,4,0.9921414538310412,28,1,0,0,0,0,28,1,0.9655172413793104,05016
Cook_North,05,016,05016,050160540043111,Schaumburg CCSD 54,The District 54 Early Learning Center,591,0,0,0,1,583,7,0,1,0,0,583,8,0.9864636209813875,05016
Cook_North,05,016,05016,050160570022008,Mount Prospect SD 57,Westbrook Early Learning Cntr,566,0,0,0,1,152,3,0,0,0,0,152,3,0.9806451612903225,05016
Cook_North,05,016,05016,050160590042008,Comm Cons SD 59,Forest View Elem School,491,4,1,0,0.9898167006109979,40,0,0,0,0,2,40,2,0.9523809523809523,05016
Cook_North,05,016,05016,050160590042009,Comm Cons SD 59,Robert Frost Elem School,453,0,0,0,1,1,0,0,0,0,0,1,0,1,05016
Cook_North,05,016,05016,050160590042014,Comm Cons SD 59,John Jay Elem School,427,0,0,0,1,39,0,0,0,0,0,39,0,1,05016
Cook_North,05,016,05016,050160590042016,Comm Cons SD 59,Juliette Low Elem School,497,1,0,0,0.9979879275653923,84,0,0,0,0,0,84,0,1,05016
Cook_North,05,016,05016,050160590042019,Comm Cons SD 59,Salt Creek Elem School,451,0,0,0,1,1,0,0,0,0,0,1,0,1,05016
Cook_North,05,016,05016,050160590042020,Comm Cons SD 59,Ridge Family Center for Learning,337,0,0,0,1,75,0,4,0,0,0,75,4,0.9493670886075949,05016
Cook_North,05,016,05016,050160620042005,CCSD 62,Forest Elem School,823,2,3,1,0.9939246658566221,433,2,0,0,0,0,433,2,0.9954022988505747,05016
Cook_North,05,016,05016,050160630022011,East Maine SD 63,Melzer School,478,0,0,0,1,132,1,0,0,0,0,132,1,0.9924812030075187,05016
Cook_North,05,016,05016,050160630022012,East Maine SD 63,Apollo Elem School,617,2,0,0,0.9967585089141006,57,1,0,0,0,0,57,1,0.9827586206896551,05016
Cook_North,05,016,05016,050160640042013,Park Ridge CCSD 64,Jefferson School,105,0,0,0,1,97,0,0,1,0,0,97,1,0.9897959183673469,05016
Cook_North,05,016,05016,050160650043020,Evanston CCSD 65,Joseph E Hill Education Center,207,0,0,0,1,201,6,0,0,0,0,201,6,0.9710144927536232,05016
Cook_North,05,016,05016,050160670022003,Golf ESD 67,Hynes Elem School,347,0,0,0,1,27,0,0,0,0,0,27,0,1,05016
Cook_North,05,016,05016,050160680021002,Skokie SD 68,Old Orchard Jr High School,684,3,0,0,0.9956140350877193,71,0,0,3,0,0,71,3,0.9594594594594594,05016
Cook_North,05,016,05016,050160690022004,Skokie SD 69,Madison Elem School,620,0,1,1,0.9983870967741936,74,0,0,1,0,0,74,1,0.9866666666666667,05016
Cook_North,05,016,05016,050160700022003,Morton Grove SD 70,Park View Elem School,867,0,0,0,1,13,0,0,0,0,0,13,0,1,05016
Cook_North,05,016,05016,050160710022001,Niles ESD 71,Clarence E Culver School,523,7,0,7,0.9866156787762907,24,0,0,0,0,1,24,1,0.96,05016
Cook_North,05,016,05016,05016071X160000,Nonpublic School,Glenview Montessori School,69,0,0,0,1,54,0,0,0,0,0,54,0,1,05016
Cook_North,05,016,05016,050160730022001,East Prairie SD 73,East Prairie Elem School,554,1,0,0,0.9981949458483754,51,0,0,0,0,0,51,0,1,05016
Cook_North,05,016,05016,050160735022003,Skokie SD 73-5,Elizabeth Meyer School,166,6,1,1,0.9578313253012049,63,0,0,0,0,0,63,0,1,05016
Cook_North,05,016,05016,050160740022004,Lincolnwood SD 74,Todd Hall Elem School,438,6,1,7,0.9840182648401826,78,0,0,0,0,0,78,0,1,05016
